#labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,CostEst
1,1,1,52.98,27.7132,0.00723648,3.54251,0.01,0
1,1,1,52.98,27.7132,0.00723648,3.54251,0.05,-1
1,1,1,52.98,27.7132,0.00723648,3.54251,0.001,0
1,1,1,52.98,27.7132,0.00723648,3.54251,0,0
1,1,1,52.98,27.7132,0.00723648,3.54251,0.025,1
1,1,1,4.18,3.24091,0.149074,2.60467,0.01,1
1,1,1,4.18,3.24091,0.149074,2.60467,0,1
1,1,1,4.18,3.24091,0.149074,2.60467,0.075,-1
1,1,1,4.18,3.24091,0.149074,2.60467,0.001,1
1,1,1,4.18,3.24091,0.149074,2.60467,0.05,-1
1,1,1,4.18,3.24091,0.149074,2.60467,0.005,1
1,1,1,4.18,3.24091,0.149074,2.60467,0.1,-1
1,1,1,4.18,3.24091,0.149074,2.60467,0.025,-1
1,1,1,72.79,37.0381,0.0134178,2.96911,0.075,-1
1,1,1,72.79,37.0381,0.0134178,2.96911,0.01,1
1,1,1,72.79,37.0381,0.0134178,2.96911,0.001,0
1,1,1,72.79,37.0381,0.0134178,2.96911,0,0
1,1,1,72.79,37.0381,0.0134178,2.96911,0.05,-1
1,1,1,72.79,37.0381,0.0134178,2.96911,0.1,-1
1,1,1,72.79,37.0381,0.0134178,2.96911,0.025,1
1,1,1,72.79,37.0381,0.0134178,2.96911,0.005,1
1,1,1,52.98,33.2326,0.00187267,3.82668,0.025,1
1,1,1,52.98,33.2326,0.00187267,3.82668,0.075,-1
1,1,1,52.98,33.2326,0.00187267,3.82668,0.005,0
1,1,1,52.98,33.2326,0.00187267,3.82668,0.001,0
1,1,1,52.98,33.2326,0.00187267,3.82668,0.05,-1
1,1,1,52.98,33.2326,0.00187267,3.82668,0.1,-1
1,1,1,52.98,33.2326,0.00187267,3.82668,0.01,0
1,1,1,52.98,33.2326,0.00187267,3.82668,0,0
1,1,1,100,56.1464,0.000857229,3.87467,0.025,1
1,1,1,100,56.1464,0.000857229,3.87467,0.075,-1
1,1,1,100,56.1464,0.000857229,3.87467,0.05,-1
1,1,1,100,56.1464,0.000857229,3.87467,0.1,-1
1,1,1,100,56.1464,0.000857229,3.87467,0.005,0
1,1,1,100,56.1464,0.000857229,3.87467,0,0
1,1,1,100,56.1464,0.000857229,3.87467,0.01,0
1,1,1,100,56.1464,0.000857229,3.87467,0.001,0
1,1,1,4.18,2.60247,0.355853,1.74033,0.075,-1
1,1,1,4.18,2.60247,0.355853,1.74033,0,1
1,1,1,4.18,2.60247,0.355853,1.74033,0.05,-1
1,1,1,4.18,2.60247,0.355853,1.74033,0.025,0
1,1,1,4.18,2.60247,0.355853,1.74033,0.1,-1
1,1,1,4.18,2.60247,0.355853,1.74033,0.01,0
1,1,1,4.18,2.60247,0.355853,1.74033,0.005,1
1,1,1,4.18,2.60247,0.355853,1.74033,0.001,1
1,1,1,62.1,31.8407,0.0107626,3.26825,0.025,1
1,1,1,62.1,31.8407,0.0107626,3.26825,0.075,-1
1,1,1,62.1,31.8407,0.0107626,3.26825,0.001,0
1,1,1,62.1,31.8407,0.0107626,3.26825,0.01,1
1,1,1,62.1,31.8407,0.0107626,3.26825,0.05,-1
1,1,1,62.1,31.8407,0.0107626,3.26825,0.1,-1
1,1,1,62.1,31.8407,0.0107626,3.26825,0.005,1
1,1,1,62.1,31.8407,0.0107626,3.26825,0,0
1,1,1,2.59,1.8676,0.426899,1.78013,0.025,1
1,1,1,2.59,1.8676,0.426899,1.78013,0.075,-1
1,1,1,2.59,1.8676,0.426899,1.78013,0.1,-1
1,1,1,2.59,1.8676,0.426899,1.78013,0.05,-1
1,1,1,2.59,1.8676,0.426899,1.78013,0.001,0
1,1,1,2.59,1.8676,0.426899,1.78013,0,1
1,1,1,2.59,1.8676,0.426899,1.78013,0.01,0
1,1,1,2.59,1.8676,0.426899,1.78013,0.005,0
1,1,1,32.9,18.0168,0.00997414,3.55386,0.075,-1
1,1,1,32.9,18.0168,0.00997414,3.55386,0,0
1,1,1,32.9,18.0168,0.00997414,3.55386,0.025,1
1,1,1,32.9,18.0168,0.00997414,3.55386,0.005,0
1,1,1,32.9,18.0168,0.00997414,3.55386,0.05,-1
